project_name,domain,description,technologies,difficulty,dataset,learning_topics
Market Basket Analysis Tool,Machine Learning,Discover product purchase patterns using Apriori and FP-Growth frequent-itemset algorithms.,Python Mlxtend Pandas Plotly,Intermediate,Web-Scraped Dataset,Recommendation Systems
Algorithmic Trading Bot,Data Science,Develop an automated trading strategy backtester using TA-Lib indicators and reinforcement learning.,Python Stable-Baselines3 Pandas Plotly,Advanced,Open Dataset,Time Series
Spam Email Classifier,NLP,Filter spam emails using TF-IDF + naive Bayes with multinomial likelihood estimation and threshold tuning.,Python Scikit-learn Pandas Matplotlib,Beginner,Open Dataset,Natural Language Processing
Algorithmic Trading Bot,Data Science,Develop an automated trading strategy backtester using TA-Lib indicators and reinforcement learning.,Python Stable-Baselines3 Pandas Plotly,Intermediate,Synthetic Dataset,Time Series
Drug-Drug Interaction Predictor,Machine Learning,Predict harmful drug interactions using graph neural networks on molecular structure embeddings.,Python PyTorch DGL Pandas,Advanced,Synthetic Dataset,Deep Learning
Face Recognition Access System,Computer Vision,Build a face-recognition attendance system using FaceNet embeddings and cosine similarity matching.,Python TensorFlow OpenCV DeepFace,Advanced,Open Dataset,Computer Vision
Stock Price Forecaster,Data Science,Forecast next-day stock closing prices using LSTM networks trained on OHLCV market data.,Python TensorFlow Pandas Matplotlib,Intermediate,Open Dataset,Time Series
Flood Risk Mapper,Machine Learning,Map flood-prone zones using satellite DEM data and rainfall patterns with a random forest classifier.,Python Scikit-learn GeoPandas Rasterio,Beginner,API-Collected Dataset,Classification
Flood Risk Mapper,Machine Learning,Map flood-prone zones using satellite DEM data and rainfall patterns with a random forest classifier.,Python Scikit-learn GeoPandas Rasterio,Intermediate,API-Collected Dataset,Classification
Loan Default Risk Model,Machine Learning,Predict borrower default probability using logistic regression with SMOTE oversampling for imbalanced data.,Python Scikit-learn Pandas Imbalanced-learn,Advanced,Web-Scraped Dataset,Classification
Energy Consumption Predictor,Data Science,Forecast building energy consumption from smart-meter readings using gradient boosting and feature engineering.,Python LightGBM Pandas Plotly,Intermediate,Kaggle Dataset,Time Series
Product Recommendation Engine,Machine Learning,Build a collaborative-filtering recommender that suggests products based on user purchase history.,Python Scikit-learn Surprise Pandas,Advanced,Research Dataset,Recommendation Systems
Insurance Premium Estimator,Machine Learning,Estimate insurance premium quotes from customer demographics and history using gradient boosted trees.,Python XGBoost Scikit-learn Pandas,Intermediate,Government Dataset,Regression
Fashion Item Classifier,Computer Vision,Classify clothing items in images and generate visual style recommendations using ResNet + embedding.,Python TensorFlow Keras OpenCV,Advanced,Open Dataset,Computer Vision
Brain Tumor Segmentation,Computer Vision,Segment brain MRI scans to localise and grade tumour regions using U-Net architecture.,Python PyTorch OpenCV Scikit-learn,Intermediate,Research Dataset,Computer Vision
Candidate-Job Fit Scorer,NLP,Match candidate profiles to job descriptions using bi-encoder sentence similarity with FAISS indexing.,Python Transformers FAISS Scikit-learn,Intermediate,Synthetic Dataset,Natural Language Processing
Tabular Data AutoML Pipeline,Machine Learning,Build an automated ML pipeline that selects optimal models and features for any tabular dataset.,Python Scikit-learn TPOT Pandas,Beginner,Public Dataset,Classification
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Intermediate,Kaggle Dataset,Computer Vision
Job Description to Skills Extractor,NLP,Extract required skills and qualifications from job postings using SpaCy NLP and custom NER.,Python SpaCy Transformers Pandas,Intermediate,Web-Scraped Dataset,Natural Language Processing
Crop Yield Predictor,Machine Learning,"Forecast crop yields per hectare from soil chemistry, weather, and satellite data using gradient boosting.",Python XGBoost Scikit-learn Pandas,Advanced,API-Collected Dataset,Regression
Plant Disease Identifier,Computer Vision,Classify plant leaf diseases from photos using a fine-tuned EfficientNet-B4 multiclass model.,Python TensorFlow Keras OpenCV,Beginner,Open Dataset,Computer Vision
Options Pricing Model,Data Science,Implement Black-Scholes and neural-network-based options pricing models with Greeks visualisation.,Python NumPy TensorFlow Matplotlib,Beginner,Research Dataset,Regression
Student Performance Predictor,Machine Learning,"Predict student exam scores from attendance, assignment scores, and activity logs using regression.",Python Scikit-learn Pandas Matplotlib,Advanced,Web-Scraped Dataset,Regression
Malware Classifier,Machine Learning,Classify malware families from static PE-file features using gradient boosting with SHAP analysis.,Python XGBoost Scikit-learn Pandas,Beginner,Government Dataset,Classification
Medical Chatbot for Symptom Triage,NLP,Build a conversational symptom checker that maps user inputs to potential diagnoses using LLM fine-tuning.,Python Transformers FastAPI Streamlit,Beginner,Research Dataset,Natural Language Processing
Tabular Data AutoML Pipeline,Machine Learning,Build an automated ML pipeline that selects optimal models and features for any tabular dataset.,Python Scikit-learn TPOT Pandas,Beginner,Kaggle Dataset,Classification
Energy Consumption Predictor,Data Science,Forecast building energy consumption from smart-meter readings using gradient boosting and feature engineering.,Python LightGBM Pandas Plotly,Beginner,Open Dataset,Time Series
Age and Gender Estimator,Computer Vision,Estimate age and gender from facial images using deep CNNs trained on the UTKFace dataset.,Python TensorFlow OpenCV DeepFace,Beginner,Synthetic Dataset,Computer Vision
Autonomous Lane Detection,Computer Vision,Detect lane markings on roads from dashcam video using Hough transform and CNN segmentation.,Python OpenCV TensorFlow NumPy,Intermediate,Web-Scraped Dataset,Computer Vision
Explainable AI Dashboard,Machine Learning,Build a SHAP + LIME dashboard that explains any black-box model's predictions interactively.,Python SHAP Scikit-learn Streamlit,Intermediate,Web-Scraped Dataset,Classification
Transfer Learning Benchmark,Machine Learning,"Compare fine-tuning strategies across ResNet, EfficientNet, and ViT on a domain-specific image dataset.",Python PyTorch TensorFlow Scikit-learn,Advanced,API-Collected Dataset,Deep Learning
Hyperparameter Tuning Engine,Machine Learning,Automate hyperparameter search using Bayesian optimisation (Optuna) and compare CV results.,Python Optuna Scikit-learn XGBoost,Intermediate,Government Dataset,Classification
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Beginner,Kaggle Dataset,Computer Vision
Adaptive Quiz Generator,NLP,Generate difficulty-adapted quiz questions from study material using GPT fine-tuning and knowledge graphs.,Python Transformers HuggingFace FastAPI,Intermediate,Web-Scraped Dataset,Natural Language Processing
Student Performance Predictor,Machine Learning,"Predict student exam scores from attendance, assignment scores, and activity logs using regression.",Python Scikit-learn Pandas Matplotlib,Advanced,Synthetic Dataset,Regression
Cart Abandonment Predictor,Machine Learning,Predict which users will abandon their shopping cart and trigger targeted retention campaigns.,Python XGBoost Scikit-learn Pandas,Intermediate,Synthetic Dataset,Classification
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Intermediate,API-Collected Dataset,Time Series
Transfer Learning Benchmark,Machine Learning,"Compare fine-tuning strategies across ResNet, EfficientNet, and ViT on a domain-specific image dataset.",Python PyTorch TensorFlow Scikit-learn,Intermediate,Open Dataset,Deep Learning
Air Quality Index Forecaster,Data Science,Predict AQI 24 hours ahead using sensor readings and meteorological data with SARIMA and LSTM.,Python TensorFlow Pandas Prophet,Intermediate,Web-Scraped Dataset,Time Series
Federated Learning Simulator,Machine Learning,Simulate privacy-preserving federated learning across distributed clients with differential privacy.,Python PySyft PyTorch NumPy,Intermediate,Kaggle Dataset,Deep Learning
Automatic Essay Grader,NLP,"Score student essays on coherence, grammar, and content using BERT embeddings and regression.",Python Transformers Scikit-learn Pandas,Intermediate,Web-Scraped Dataset,Natural Language Processing
Malware Classifier,Machine Learning,Classify malware families from static PE-file features using gradient boosting with SHAP analysis.,Python XGBoost Scikit-learn Pandas,Advanced,Government Dataset,Classification
Social Network Community Detector,Machine Learning,Detect communities in social graphs using Louvain algorithm with embedding-based node classification.,Python NetworkX PyTorch Pandas,Beginner,Public Dataset,Classification
Log Anomaly Detector,Machine Learning,Detect anomalous server log patterns signalling attacks using isolation forest and autoencoder.,Python PyTorch Scikit-learn Pandas,Intermediate,Synthetic Dataset,Deep Learning
Movie Box-Office Predictor,Data Science,"Forecast box-office revenue from cast, budget, genre, and trailer sentiment using gradient boosting.",Python XGBoost Scikit-learn Pandas,Advanced,Government Dataset,Regression
Ride-Sharing Demand Forecaster,Data Science,Forecast ride-share demand at zone-hour level using spatio-temporal LSTM on NYC taxi data.,Python TensorFlow Pandas Folium,Intermediate,Government Dataset,Time Series
Skin Lesion Classification,Computer Vision,Classify dermoscopic images into 7 skin conditions using EfficientNet with data augmentation.,Python TensorFlow Keras OpenCV,Beginner,Government Dataset,Computer Vision
Influencer Engagement Predictor,Data Science,"Predict Instagram post engagement rate from caption features, hashtags, and posting time.",Python Scikit-learn Pandas Matplotlib,Advanced,Synthetic Dataset,Regression
Movie Recommendation System,Machine Learning,Recommend movies using matrix factorisation (SVD) on the MovieLens dataset with cold-start handling.,Python Surprise Scikit-learn Pandas,Advanced,Research Dataset,Recommendation Systems
Loan Default Risk Model,Machine Learning,Predict borrower default probability using logistic regression with SMOTE oversampling for imbalanced data.,Python Scikit-learn Pandas Imbalanced-learn,Beginner,API-Collected Dataset,Classification
Mental Health Sentiment Tracker,NLP,Analyse social media posts to detect mental health distress signals using fine-tuned BERT.,Python Transformers HuggingFace Pandas,Beginner,Synthetic Dataset,Natural Language Processing
Question Answering Chatbot,NLP,Build a context-aware QA bot using RAG (retrieval augmented generation) with FAISS and GPT.,Python Transformers FAISS LangChain,Beginner,Research Dataset,Natural Language Processing
House Price Estimator,Machine Learning,"Estimate residential property values from location, size, and amenity features using XGBoost with maps.",Python XGBoost Scikit-learn Pandas,Intermediate,Web-Scraped Dataset,Regression
Hyperparameter Tuning Engine,Machine Learning,Automate hyperparameter search using Bayesian optimisation (Optuna) and compare CV results.,Python Optuna Scikit-learn XGBoost,Beginner,Research Dataset,Classification
House Price Estimator,Machine Learning,"Estimate residential property values from location, size, and amenity features using XGBoost with maps.",Python XGBoost Scikit-learn Pandas,Advanced,Government Dataset,Regression
Employee Attrition Predictor,Machine Learning,Identify employees at risk of resignation using HR features with XGBoost and SHAP explainability.,Python XGBoost Scikit-learn Pandas,Beginner,Research Dataset,Classification
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Intermediate,Research Dataset,Computer Vision
Music Playlist Generator,Machine Learning,"Generate personalised playlists by clustering audio features (BPM, key, energy) using k-means + cosine sim.",Python Scikit-learn Librosa Pandas,Advanced,Government Dataset,Recommendation Systems
Face Recognition Access System,Computer Vision,Build a face-recognition attendance system using FaceNet embeddings and cosine similarity matching.,Python TensorFlow OpenCV DeepFace,Beginner,Open Dataset,Computer Vision
Job Description to Skills Extractor,NLP,Extract required skills and qualifications from job postings using SpaCy NLP and custom NER.,Python SpaCy Transformers Pandas,Beginner,Government Dataset,Natural Language Processing
Candidate-Job Fit Scorer,NLP,Match candidate profiles to job descriptions using bi-encoder sentence similarity with FAISS indexing.,Python Transformers FAISS Scikit-learn,Intermediate,Kaggle Dataset,Natural Language Processing
Transfer Learning Benchmark,Machine Learning,"Compare fine-tuning strategies across ResNet, EfficientNet, and ViT on a domain-specific image dataset.",Python PyTorch TensorFlow Scikit-learn,Advanced,Research Dataset,Deep Learning
Air Quality Index Forecaster,Data Science,Predict AQI 24 hours ahead using sensor readings and meteorological data with SARIMA and LSTM.,Python TensorFlow Pandas Prophet,Beginner,Web-Scraped Dataset,Time Series
Retail Sales Forecaster,Data Science,"Forecast store-level weekly sales using LightGBM with lag features, holidays, and weather data.",Python LightGBM Pandas Prophet,Intermediate,Open Dataset,Time Series
Credit Score Predictor,Machine Learning,Build a credit-scoring model using customer financial history with feature importance and SHAP.,Python Scikit-learn XGBoost Pandas,Advanced,Web-Scraped Dataset,Classification
Carbon Emission Calculator,Data Science,Estimate carbon footprints from supply-chain and transport data using regression and scenario modelling.,Python Scikit-learn Pandas Plotly,Intermediate,Web-Scraped Dataset,Regression
Social Network Community Detector,Machine Learning,Detect communities in social graphs using Louvain algorithm with embedding-based node classification.,Python NetworkX PyTorch Pandas,Beginner,Open Dataset,Classification
Music Playlist Generator,Machine Learning,"Generate personalised playlists by clustering audio features (BPM, key, energy) using k-means + cosine sim.",Python Scikit-learn Librosa Pandas,Beginner,Kaggle Dataset,Recommendation Systems
Real-Time Object Detector,Computer Vision,Detect and track objects in live video streams using YOLOv8 with custom dataset fine-tuning.,Python PyTorch OpenCV Ultralytics,Advanced,Research Dataset,Computer Vision
Book Recommendation Engine,Machine Learning,Recommend books using content-based filtering on TF-IDF of descriptions and user reading history.,Python Scikit-learn Pandas Streamlit,Intermediate,Government Dataset,Recommendation Systems
Algorithmic Trading Bot,Data Science,Develop an automated trading strategy backtester using TA-Lib indicators and reinforcement learning.,Python Stable-Baselines3 Pandas Plotly,Beginner,Public Dataset,Time Series
Stock Price Forecaster,Data Science,Forecast next-day stock closing prices using LSTM networks trained on OHLCV market data.,Python TensorFlow Pandas Matplotlib,Intermediate,Synthetic Dataset,Time Series
Cryptocurrency Sentiment Dashboard,NLP,Aggregate crypto news and Twitter sentiment scores to generate buy/sell signals using VADER + RoBERTa.,Python Transformers Pandas Streamlit,Beginner,Open Dataset,Natural Language Processing
Wildfire Smoke Detector,Computer Vision,Detect wildfire smoke from satellite imagery using CNN classification with geographic overlays.,Python PyTorch OpenCV Matplotlib,Intermediate,Government Dataset,Computer Vision
House Price Estimator,Machine Learning,"Estimate residential property values from location, size, and amenity features using XGBoost with maps.",Python XGBoost Scikit-learn Pandas,Intermediate,Synthetic Dataset,Regression
Salary Prediction Tool,Machine Learning,"Predict job salaries from role, skills, location, and experience using gradient boosting regression.",Python XGBoost Scikit-learn Pandas,Beginner,Research Dataset,Regression
Mental Health Sentiment Tracker,NLP,Analyse social media posts to detect mental health distress signals using fine-tuned BERT.,Python Transformers HuggingFace Pandas,Advanced,Synthetic Dataset,Natural Language Processing
Price Comparison Scraper + ML Pricer,Data Science,Scrape competitor prices and predict the optimal listing price using regression with market features.,Python Scikit-learn BeautifulSoup Pandas,Advanced,API-Collected Dataset,Regression
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Beginner,API-Collected Dataset,Natural Language Processing
Code Comment Generator,NLP,Generate docstrings and inline comments for Python functions using a fine-tuned CodeBERT model.,Python Transformers HuggingFace FastAPI,Advanced,Research Dataset,Natural Language Processing
Vehicle Detection System,Computer Vision,Count and classify vehicles from traffic cameras using YOLOv8 with lane-level analytics.,Python PyTorch Ultralytics OpenCV,Intermediate,Kaggle Dataset,Computer Vision
Age and Gender Estimator,Computer Vision,Estimate age and gender from facial images using deep CNNs trained on the UTKFace dataset.,Python TensorFlow OpenCV DeepFace,Beginner,Open Dataset,Computer Vision
YouTube View Count Predictor,Data Science,"Predict YouTube video view count from title, thumbnail, and channel features using XGBoost.",Python XGBoost Scikit-learn Pandas,Beginner,Web-Scraped Dataset,Regression
Pothole Detection System,Computer Vision,Automatically detect road potholes from dashcam footage using semantic segmentation with DeepLab.,Python TensorFlow OpenCV Pandas,Advanced,Synthetic Dataset,Computer Vision
Clinical Note Summariser,NLP,Summarise lengthy physician notes into structured SOAP format using a transformer seq2seq model.,Python Transformers HuggingFace FastAPI,Beginner,Synthetic Dataset,Natural Language Processing
Hate Speech Moderator,NLP,Detect and classify hate speech and offensive language in social-media posts using multi-class BERT.,Python Transformers HuggingFace Pandas,Beginner,Synthetic Dataset,Natural Language Processing
Fraud Transaction Detector,Machine Learning,Detect fraudulent credit-card transactions in real time using an anomaly-detection pipeline with isolation forest.,Python Scikit-learn XGBoost Pandas,Advanced,Research Dataset,Classification
Waste Classification System,Computer Vision,"Classify waste images into recyclable categories (paper, plastic, glass) using ResNet-50 transfer learning.",Python TensorFlow Keras OpenCV,Beginner,Public Dataset,Computer Vision
Market Basket Analysis Tool,Machine Learning,Discover product purchase patterns using Apriori and FP-Growth frequent-itemset algorithms.,Python Mlxtend Pandas Plotly,Advanced,Synthetic Dataset,Recommendation Systems
Dynamic Pricing Optimiser,Data Science,Optimise product pricing in real time using demand elasticity models and contextual bandit algorithms.,Python Scikit-learn NumPy Pandas,Intermediate,API-Collected Dataset,Regression
Heart Disease Risk Predictor,Machine Learning,Predict patient heart disease risk from clinical features using ensemble classifiers and SHAP explainability.,Python Scikit-learn XGBoost Pandas,Beginner,Government Dataset,Classification
Patient Readmission Predictor,Data Science,Forecast hospital readmission within 30 days using structured EHR data and gradient boosting.,Python XGBoost Scikit-learn Pandas,Intermediate,Kaggle Dataset,Classification
Options Pricing Model,Data Science,Implement Black-Scholes and neural-network-based options pricing models with Greeks visualisation.,Python NumPy TensorFlow Matplotlib,Beginner,Web-Scraped Dataset,Regression
Log Anomaly Detector,Machine Learning,Detect anomalous server log patterns signalling attacks using isolation forest and autoencoder.,Python PyTorch Scikit-learn Pandas,Beginner,Synthetic Dataset,Deep Learning
Customer Churn Predictor,Machine Learning,Identify customers likely to cancel subscriptions using XGBoost with cohort analysis visualisations.,Python XGBoost Scikit-learn Pandas,Advanced,Web-Scraped Dataset,Classification
Network Intrusion Detector,Machine Learning,Detect network intrusions and attacks from packet-level features using random forest on CICIDS dataset.,Python Scikit-learn XGBoost Pandas,Beginner,Open Dataset,Classification
Network Intrusion Detector,Machine Learning,Detect network intrusions and attacks from packet-level features using random forest on CICIDS dataset.,Python Scikit-learn XGBoost Pandas,Advanced,Kaggle Dataset,Classification
Crop Yield Predictor,Machine Learning,"Forecast crop yields per hectare from soil chemistry, weather, and satellite data using gradient boosting.",Python XGBoost Scikit-learn Pandas,Intermediate,Public Dataset,Regression
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Advanced,API-Collected Dataset,Deep Learning
Revenue Forecasting Engine,Data Science,Predict quarterly company revenue from sales CRM data using Facebook Prophet with seasonality decomposition.,Python Prophet Pandas Plotly,Beginner,API-Collected Dataset,Time Series
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Advanced,Open Dataset,Time Series
Rent Yield Predictor,Data Science,Predict rental yield percentages from property listing features using gradient boosting regression.,Python Scikit-learn Pandas Plotly,Advanced,Government Dataset,Regression
Explainable AI Dashboard,Machine Learning,Build a SHAP + LIME dashboard that explains any black-box model's predictions interactively.,Python SHAP Scikit-learn Streamlit,Intermediate,API-Collected Dataset,Classification
Social Network Community Detector,Machine Learning,Detect communities in social graphs using Louvain algorithm with embedding-based node classification.,Python NetworkX PyTorch Pandas,Beginner,API-Collected Dataset,Classification
GAN-Based Face Generator,Computer Vision,Generate photorealistic human faces using a progressive GAN with latent-space interpolation.,Python PyTorch TensorFlow NumPy,Intermediate,Research Dataset,Deep Learning
Code Comment Generator,NLP,Generate docstrings and inline comments for Python functions using a fine-tuned CodeBERT model.,Python Transformers HuggingFace FastAPI,Intermediate,Open Dataset,Natural Language Processing
YouTube View Count Predictor,Data Science,"Predict YouTube video view count from title, thumbnail, and channel features using XGBoost.",Python XGBoost Scikit-learn Pandas,Beginner,Government Dataset,Regression
Candidate-Job Fit Scorer,NLP,Match candidate profiles to job descriptions using bi-encoder sentence similarity with FAISS indexing.,Python Transformers FAISS Scikit-learn,Advanced,API-Collected Dataset,Natural Language Processing
Salary Prediction Tool,Machine Learning,"Predict job salaries from role, skills, location, and experience using gradient boosting regression.",Python XGBoost Scikit-learn Pandas,Beginner,Web-Scraped Dataset,Regression
Plant Disease Identifier,Computer Vision,Classify plant leaf diseases from photos using a fine-tuned EfficientNet-B4 multiclass model.,Python TensorFlow Keras OpenCV,Intermediate,Kaggle Dataset,Computer Vision
Job Description to Skills Extractor,NLP,Extract required skills and qualifications from job postings using SpaCy NLP and custom NER.,Python SpaCy Transformers Pandas,Advanced,Research Dataset,Natural Language Processing
Vehicle Detection System,Computer Vision,Count and classify vehicles from traffic cameras using YOLOv8 with lane-level analytics.,Python PyTorch Ultralytics OpenCV,Advanced,Web-Scraped Dataset,Computer Vision
Credit Score Predictor,Machine Learning,Build a credit-scoring model using customer financial history with feature importance and SHAP.,Python Scikit-learn XGBoost Pandas,Advanced,Research Dataset,Classification
Time Series Anomaly Detector,Data Science,"Flag anomalies in multivariate time-series data using isolation forest, LOF, and LSTM autoencoder.",Python PyTorch Scikit-learn Pandas,Intermediate,Kaggle Dataset,Time Series
Heart Disease Risk Predictor,Machine Learning,Predict patient heart disease risk from clinical features using ensemble classifiers and SHAP explainability.,Python Scikit-learn XGBoost Pandas,Advanced,Public Dataset,Classification
Network Intrusion Detector,Machine Learning,Detect network intrusions and attacks from packet-level features using random forest on CICIDS dataset.,Python Scikit-learn XGBoost Pandas,Beginner,Government Dataset,Classification
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Beginner,Government Dataset,Time Series
Sports Outcome Predictor,Machine Learning,"Predict football match outcomes using Elo ratings, form indices, and poisson goal models.",Python Scikit-learn Pandas NumPy,Intermediate,API-Collected Dataset,Classification
Market Basket Analysis Tool,Machine Learning,Discover product purchase patterns using Apriori and FP-Growth frequent-itemset algorithms.,Python Mlxtend Pandas Plotly,Beginner,Kaggle Dataset,Recommendation Systems
Rent Yield Predictor,Data Science,Predict rental yield percentages from property listing features using gradient boosting regression.,Python Scikit-learn Pandas Plotly,Intermediate,Research Dataset,Regression
Parking Occupancy Predictor,Data Science,Predict parking lot occupancy from sensor and time data using random forest regression.,Python Scikit-learn Pandas Plotly,Intermediate,Kaggle Dataset,Regression
Cryptocurrency Sentiment Dashboard,NLP,Aggregate crypto news and Twitter sentiment scores to generate buy/sell signals using VADER + RoBERTa.,Python Transformers Pandas Streamlit,Advanced,API-Collected Dataset,Natural Language Processing
Smart Home Energy Monitor,Data Science,Disaggregate appliance-level energy consumption from smart-meter readings using NILM techniques.,Python Scikit-learn Pandas Plotly,Beginner,Kaggle Dataset,Time Series
Patient Readmission Predictor,Data Science,Forecast hospital readmission within 30 days using structured EHR data and gradient boosting.,Python XGBoost Scikit-learn Pandas,Advanced,Kaggle Dataset,Classification
Solar Power Output Forecaster,Data Science,Predict solar panel output from irradiance and temperature forecasts using XGBoost regression.,Python XGBoost Pandas Plotly,Intermediate,Research Dataset,Regression
House Price Estimator,Machine Learning,"Estimate residential property values from location, size, and amenity features using XGBoost with maps.",Python XGBoost Scikit-learn Pandas,Beginner,Public Dataset,Regression
Fashion Item Classifier,Computer Vision,Classify clothing items in images and generate visual style recommendations using ResNet + embedding.,Python TensorFlow Keras OpenCV,Intermediate,Web-Scraped Dataset,Computer Vision
Retail Sales Forecaster,Data Science,"Forecast store-level weekly sales using LightGBM with lag features, holidays, and weather data.",Python LightGBM Pandas Prophet,Advanced,Web-Scraped Dataset,Time Series
Algorithmic Trading Bot,Data Science,Develop an automated trading strategy backtester using TA-Lib indicators and reinforcement learning.,Python Stable-Baselines3 Pandas Plotly,Intermediate,Government Dataset,Time Series
Music Genre Classifier,Machine Learning,"Classify music tracks into genres from MFCC, chroma, and spectral features using SVM and random forest.",Python Librosa Scikit-learn Pandas,Beginner,Government Dataset,Classification
Loan Default Risk Model,Machine Learning,Predict borrower default probability using logistic regression with SMOTE oversampling for imbalanced data.,Python Scikit-learn Pandas Imbalanced-learn,Intermediate,Kaggle Dataset,Classification
Fraud Transaction Detector,Machine Learning,Detect fraudulent credit-card transactions in real time using an anomaly-detection pipeline with isolation forest.,Python Scikit-learn XGBoost Pandas,Advanced,Public Dataset,Classification
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Advanced,Research Dataset,Computer Vision
Retail Sales Forecaster,Data Science,"Forecast store-level weekly sales using LightGBM with lag features, holidays, and weather data.",Python LightGBM Pandas Prophet,Intermediate,Synthetic Dataset,Time Series
Options Pricing Model,Data Science,Implement Black-Scholes and neural-network-based options pricing models with Greeks visualisation.,Python NumPy TensorFlow Matplotlib,Intermediate,Synthetic Dataset,Regression
Code Comment Generator,NLP,Generate docstrings and inline comments for Python functions using a fine-tuned CodeBERT model.,Python Transformers HuggingFace FastAPI,Beginner,Government Dataset,Natural Language Processing
Medical Chatbot for Symptom Triage,NLP,Build a conversational symptom checker that maps user inputs to potential diagnoses using LLM fine-tuning.,Python Transformers FastAPI Streamlit,Beginner,Open Dataset,Natural Language Processing
Industrial Anomaly Detector,Machine Learning,Detect manufacturing defects in sensor time-series data using autoencoder reconstruction error.,Python PyTorch Scikit-learn Pandas,Advanced,Public Dataset,Deep Learning
Fall Detection Wearable Model,Machine Learning,Detect elderly falls from accelerometer data using SVM and sliding window feature extraction.,Python Scikit-learn Pandas NumPy,Intermediate,Public Dataset,Classification
Brain Tumor Segmentation,Computer Vision,Segment brain MRI scans to localise and grade tumour regions using U-Net architecture.,Python PyTorch OpenCV Scikit-learn,Advanced,Public Dataset,Computer Vision
Flight Delay Predictor,Machine Learning,"Predict flight delays from weather, carrier, and airport data using gradient boosting classification.",Python XGBoost Scikit-learn Pandas,Intermediate,Synthetic Dataset,Classification
Explainable AI Dashboard,Machine Learning,Build a SHAP + LIME dashboard that explains any black-box model's predictions interactively.,Python SHAP Scikit-learn Streamlit,Beginner,Web-Scraped Dataset,Classification
Predictive Maintenance System,Machine Learning,Predict machine failures from IoT sensor vibration and temperature data using LSTM and isolation forest.,Python TensorFlow Scikit-learn Pandas,Beginner,Kaggle Dataset,Time Series
Carbon Emission Calculator,Data Science,Estimate carbon footprints from supply-chain and transport data using regression and scenario modelling.,Python Scikit-learn Pandas Plotly,Beginner,Public Dataset,Regression
Air Quality Index Forecaster,Data Science,Predict AQI 24 hours ahead using sensor readings and meteorological data with SARIMA and LSTM.,Python TensorFlow Pandas Prophet,Intermediate,Kaggle Dataset,Time Series
Soil Health Analyser,Data Science,Analyse soil test data to predict soil health scores and recommend fertilisers using regression models.,Python Scikit-learn Pandas Plotly,Intermediate,API-Collected Dataset,Regression
Document Summarisation Engine,NLP,Summarise long PDFs and reports using extractive (TextRank) and abstractive (BART) techniques.,Python Transformers HuggingFace PyPDF2,Intermediate,API-Collected Dataset,Natural Language Processing
Document Summarisation Engine,NLP,Summarise long PDFs and reports using extractive (TextRank) and abstractive (BART) techniques.,Python Transformers HuggingFace PyPDF2,Advanced,Research Dataset,Natural Language Processing
Log Anomaly Detector,Machine Learning,Detect anomalous server log patterns signalling attacks using isolation forest and autoencoder.,Python PyTorch Scikit-learn Pandas,Intermediate,Research Dataset,Deep Learning
Content Moderation Classifier,NLP,Automatically flag toxic and rule-violating content using a multi-label BERT classifier.,Python Transformers HuggingFace Pandas,Beginner,Public Dataset,Natural Language Processing
Heart Disease Risk Predictor,Machine Learning,Predict patient heart disease risk from clinical features using ensemble classifiers and SHAP explainability.,Python Scikit-learn XGBoost Pandas,Intermediate,Web-Scraped Dataset,Classification
Cart Abandonment Predictor,Machine Learning,Predict which users will abandon their shopping cart and trigger targeted retention campaigns.,Python XGBoost Scikit-learn Pandas,Beginner,Government Dataset,Classification
Cryptocurrency Sentiment Dashboard,NLP,Aggregate crypto news and Twitter sentiment scores to generate buy/sell signals using VADER + RoBERTa.,Python Transformers Pandas Streamlit,Advanced,Synthetic Dataset,Natural Language Processing
Heart Disease Risk Predictor,Machine Learning,Predict patient heart disease risk from clinical features using ensemble classifiers and SHAP explainability.,Python Scikit-learn XGBoost Pandas,Beginner,Open Dataset,Classification
YouTube View Count Predictor,Data Science,"Predict YouTube video view count from title, thumbnail, and channel features using XGBoost.",Python XGBoost Scikit-learn Pandas,Intermediate,Kaggle Dataset,Regression
